seed,method,n_train,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
0,raw,214,0.72,0.0,0.28
1,raw,214,0.72,0.0,0.28
2,raw,214,0.72,0.0,0.28
3,raw,214,0.72,0.0,0.28
4,raw,214,0.72,0.0,0.28
5,raw,214,0.72,0.0,0.28
6,raw,214,0.72,0.0,0.28
7,raw,214,0.72,0.0,0.28
8,raw,214,0.72,0.0,0.28
9,raw,214,0.72,0.0,0.28
10,raw,214,0.72,0.0,0.28
11,raw,214,0.72,0.0,0.28
12,raw,214,0.72,0.0,0.28
13,raw,214,0.72,0.0,0.28
14,raw,214,0.72,0.0,0.28
15,raw,214,0.72,0.0,0.28
16,raw,214,0.72,0.0,0.28
17,raw,214,0.72,0.0,0.28
18,raw,214,0.72,0.0,0.28
19,raw,214,0.72,0.0,0.28
20,raw,214,0.72,0.0,0.28
21,raw,214,0.72,0.0,0.28
22,raw,214,0.72,0.0,0.28
23,raw,214,0.72,0.0,0.28
24,raw,214,0.72,0.0,0.28
25,raw,214,0.72,0.0,0.28
26,raw,214,0.72,0.0,0.28
27,raw,214,0.72,0.0,0.28
28,raw,214,0.72,0.0,0.28
29,raw,214,0.72,0.0,0.28
30,raw,214,0.72,0.0,0.28
31,raw,214,0.72,0.0,0.28
32,raw,214,0.72,0.0,0.28
33,raw,214,0.72,0.0,0.28
34,raw,214,0.72,0.0,0.28
35,raw,214,0.72,0.0,0.28
36,raw,214,0.72,0.0,0.28
37,raw,214,0.72,0.0,0.28
38,raw,214,0.72,0.0,0.28
39,raw,214,0.72,0.0,0.28
40,raw,214,0.72,0.0,0.28
41,raw,214,0.72,0.0,0.28
42,raw,214,0.72,0.0,0.28
43,raw,214,0.72,0.0,0.28
44,raw,214,0.72,0.0,0.28
45,raw,214,0.72,0.0,0.28
46,raw,214,0.72,0.0,0.28
47,raw,214,0.72,0.0,0.28
48,raw,214,0.72,0.0,0.28
49,raw,214,0.72,0.0,0.28
0,harmonic_only,144,0.72,0.0,0.28
1,harmonic_only,144,0.72,0.0,0.28
2,harmonic_only,144,0.72,0.0,0.28
3,harmonic_only,144,0.72,0.0,0.28
4,harmonic_only,144,0.72,0.0,0.28
5,harmonic_only,144,0.72,0.0,0.28
6,harmonic_only,144,0.72,0.0,0.28
7,harmonic_only,144,0.72,0.0,0.28
8,harmonic_only,144,0.72,0.0,0.28
9,harmonic_only,144,0.72,0.0,0.28
10,harmonic_only,144,0.72,0.0,0.28
11,harmonic_only,144,0.72,0.0,0.28
12,harmonic_only,144,0.72,0.0,0.28
13,harmonic_only,144,0.72,0.0,0.28
14,harmonic_only,144,0.72,0.0,0.28
15,harmonic_only,144,0.72,0.0,0.28
16,harmonic_only,144,0.72,0.0,0.28
17,harmonic_only,144,0.72,0.0,0.28
