seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
0,raw,3000,0.9186666666666666,0.088,0.8569966583124479,0.1054093567251462,0.03759398496240601
0,harmonic_only,2850,0.9252631578947368,0.096,0.8904730902777779,0.10952690972222223,6.10242558767608e-30
0,curl_only,2820,0.9351063829787234,0.097,0.9266711833785004,0.03267841011743452,0.04065040650406504
0,reliability_score,2670,0.9423220973782771,0.092,0.965936911487759,0.03406308851224107,6.602867143724454e-30
1,raw,3000,0.9203333333333333,0.06,0.8632268460137312,0.10776937088412498,0.029003783102143757
1,harmonic_only,2885,0.9233968804159446,0.193,0.889011544011544,0.11098845598845598,5.989161561667653e-30
1,curl_only,2817,0.9361022364217252,0.11,0.9351624165148756,0.03341681845780207,0.031420765027322405
1,reliability_score,2702,0.9411547002220577,0.168,0.9654991380661339,0.03450086193386617,6.487481345105039e-30
2,raw,3000,0.923,0.078,0.8566124322069254,0.09582811848143515,0.04755944931163955
2,harmonic_only,2810,0.9313167259786477,0.077,0.8993867717915025,0.10061322820849761,6.381868701660395e-30
2,curl_only,2841,0.9369940161914819,0.087,0.9174709562109027,0.03159070598748884,0.05093833780160858
2,reliability_score,2651,0.9471897397208601,0.081,0.9667137476459511,0.03328625235404897,6.844844173685567e-30
3,raw,3000,0.9203333333333333,0.062,0.8507876760072494,0.09902411822110695,0.050188205771643665
3,harmonic_only,2800,0.9275,0.158,0.8957434316747395,0.10425656832526055,1.030403423323854e-29
3,curl_only,2832,0.9322033898305084,0.201,0.9150847203478782,0.030934173039436207,0.05398110661268556
3,reliability_score,2632,0.9437689969604863,0.171,0.9673006815660168,0.03269931843398321,1.1111426336502825e-29
4,raw,3000,0.9226666666666666,0.075,0.8457216638749304,0.11407733109994418,0.04020100502512563
4,harmonic_only,2840,0.9292253521126761,0.077,0.8811445607911578,0.11885543920884235,7.317754812189909e-30
4,curl_only,2799,0.9403358342265095,0.075,0.9234491693339432,0.032655083066605715,0.0438957475994513
4,reliability_score,2639,0.9492231906025009,0.075,0.9658456878686436,0.03415431213135662,8.002225618867486e-30
5,raw,3000,0.916,0.075,0.8481179422835634,0.10796737766624845,0.043914680050188205
5,harmonic_only,2825,0.9246017699115044,0.076,0.8870734908136484,0.11292650918635172,9.759604734671001e-30
5,curl_only,2811,0.9338313767342583,0.079,0.9209128065395096,0.031403269754768405,0.047683923705722074
5,reliability_score,2636,0.9427162367223065,0.076,0.967024320457797,0.03297567954220316,1.0621450999373495e-29
6,raw,3000,0.9263333333333333,0.078,0.8669722222222223,0.0967777777777778,0.03625
6,harmonic_only,2855,0.9320490367775832,0.085,0.8995820723447183,0.10041792765528175,6.963512009342677e-30
6,curl_only,2841,0.9384019711369236,0.115,0.9284843076007735,0.032693737914621455,0.038821954484605084
6,reliability_score,2696,0.9443620178041543,0.111,0.965985762921696,0.03401423707830394,7.462974028146275e-30
7,raw,3000,0.922,0.077,0.8625296995108317,0.09973445143256464,0.03773584905660377
7,harmonic_only,2850,0.9284210526315789,0.077,0.8963543936092956,0.10364560639070443,7.351894419885886e-30
7,curl_only,2832,0.9371468926553672,0.077,0.9278905427755225,0.03151405803638552,0.04059539918809202
7,reliability_score,2682,0.9448173005219985,0.077,0.9671524839366871,0.032847516063312966,7.917003072693383e-30
8,raw,3000,0.923,0.072,0.8606800166875261,0.10427617855652901,0.03504380475594493
8,harmonic_only,2860,0.9286713286713286,0.102,0.891936878512754,0.10806312148724599,6.384699601827388e-30
8,curl_only,2823,0.9387176762309599,0.085,0.9293018018018019,0.032860360360360365,0.03783783783783784
8,reliability_score,2683,0.9452105851658591,0.12,0.9658473782771536,0.034152621722846443,6.897426537439475e-30
9,raw,3000,0.924,0.074,0.8569514237855946,0.10912897822445562,0.03391959798994975
9,harmonic_only,2865,0.9284467713787086,0.25,0.8870394451668835,0.11296055483311661,7.107298460227109e-30
9,curl_only,2808,0.9405270655270656,0.173,0.9318761384335155,0.031238615664845183,0.036885245901639344
9,reliability_score,2673,0.9483726150392817,0.086,0.9675650118203312,0.03243498817966904,7.734596796356186e-30
10,raw,3000,0.919,0.081,0.8449469570072585,0.11987716359575655,0.035175879396984924
10,harmonic_only,2860,0.9251748251748252,0.091,0.8757523148148149,0.1242476851851852,7.12451747850575e-30
10,curl_only,2784,0.9382183908045977,0.094,0.928974831184776,0.0323511356660528,0.03867403314917127
10,reliability_score,2644,0.9459152798789713,0.095,0.9663473818646232,0.03365261813537677,7.841134952871318e-30
11,raw,3000,0.925,0.076,0.8750174264603374,0.09486965007667643,0.030112923462986198
11,harmonic_only,2880,0.9302083333333333,0.076,0.9021848497915769,0.09781515020842317,8.257963847114605e-30
11,curl_only,2847,0.9388830347734457,0.076,0.9348376526660709,0.03299076556449212,0.032171581769437
11,reliability_score,2727,0.9435276861019435,0.078,0.9659125884887658,0.03408741151123424,8.827351907587289e-30
12,raw,3000,0.9243333333333333,0.068,0.8568140731469893,0.11314837991934364,0.030037546933667083
