seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
0,raw,1000,0.927,0.084,0.9156497175141243,0.074180790960452,0.010169491525423728
0,harmonic_only,985,0.9279187817258884,0.122,0.9250570776255708,0.07494292237442923,7.215928859551096e-30
0,curl_only,955,0.9392670157068063,0.13,0.964702380952381,0.024583333333333346,0.010714285714285714
0,reliability_score,940,0.9414893617021277,0.116,0.9751504211793021,0.024849578820697965,7.596003605033723e-30
1,raw,1000,0.922,0.076,0.8991666666666667,0.08083333333333333,0.02
1,harmonic_only,970,0.9278350515463918,0.076,0.9175170068027211,0.0824829931972789,8.708908121624362e-30
1,curl_only,946,0.9386892177589852,0.076,0.9565602836879432,0.02216312056737589,0.02127659574468085
1,reliability_score,916,0.9432314410480349,0.08,0.9773550724637681,0.022644927536231887,9.264018527840826e-30
2,raw,1000,0.924,0.068,0.8945003728560776,0.09207680835197612,0.013422818791946308
2,harmonic_only,980,0.926530612244898,0.068,0.9066704459561603,0.09332955404383975,1.012552855620312e-29
2,curl_only,937,0.9413020277481323,0.068,0.9623144805455276,0.023245086241476136,0.01444043321299639
2,reliability_score,917,0.9443838604143948,0.068,0.9764143264143265,0.02358567358567359,1.0889244966195262e-29
3,raw,1000,0.923,0.076,0.9051020408163266,0.07448979591836734,0.02040816326530612
3,harmonic_only,970,0.9268041237113402,0.08,0.9239583333333334,0.07604166666666666,7.358684434860184e-30
3,curl_only,952,0.9359243697478992,0.076,0.9571942446043167,0.021223021582733814,0.02158273381294964
3,reliability_score,922,0.940347071583514,0.076,0.9783088235294118,0.02169117647058824,7.779947329481062e-30
4,raw,1000,0.929,0.072,0.915830546265329,0.054069119286510606,0.030100334448160536
4,harmonic_only,955,0.9350785340314136,0.07,0.9442528735632183,0.055747126436781626,8.401553175684336e-30
4,curl_only,973,0.9362795477903392,0.072,0.9442528735632183,0.02471264367816093,0.03103448275862069
4,reliability_score,928,0.9418103448275862,0.07,0.9744958481613287,0.02550415183867142,8.664325565522097e-30
