seed,method,violations,goal_rate,final_return,n_hardened_regions
0,ppo,7,0.0,-0.11493111082830358,0
1,ppo,17,0.0,-2.7390590163399735,0
2,ppo,23,0.0,-1.9703384172471017,0
3,ppo,19,0.0,-0.037752198451804976,0
4,ppo,16,0.0,0.0044587223358114915,0
5,ppo,66,0.0,-0.008878424918902447,0
6,ppo,56,0.0,-0.03663845275040361,0
7,ppo,23,0.0,-0.029480542694342457,0
8,ppo,33,0.0,-0.6022799809800017,0
9,ppo,3,0.0,-0.015015700552267417,0
10,ppo,25,0.0,-1.991204836017509,0
11,ppo,9,0.0,-0.19521194000800665,0
12,ppo,20,0.0,-0.20093285673633204,0
13,ppo,37,0.0,-2.64247265684458,0
14,ppo,6,0.0,0.11528970760844807,0
15,ppo,32,0.0,-0.12709423993205174,0
16,ppo,4,0.0,-0.06040159255962538,0
17,ppo,24,0.0,-4.261782281744603,0
18,ppo,8,0.0,-0.13295126730833842,0
19,ppo,26,0.0,-0.12128910891061313,0
20,ppo,41,0.0,-0.045994945127758244,0
21,ppo,5,0.0,0.09743477199289606,0
22,ppo,9,0.0,-0.008307584264211847,0
23,ppo,15,0.0,-0.19535552417509103,0
24,ppo,26,0.0,-0.524683951120382,0
25,ppo,49,0.0,-2.054675180003587,0
26,ppo,68,0.0,-0.2372078256675164,0
27,ppo,15,0.0,-0.08638724684541471,0
28,ppo,27,0.0,-1.1245298716257164,0
29,ppo,12,0.0,-0.12917773728317342,0
30,ppo,25,0.0,-0.15443741462157226,0
31,ppo,58,0.0,-0.2894044533736025,0
32,ppo,12,0.0,0.0019770739008523725,0
33,ppo,46,0.0,-0.6383650836360173,0
34,ppo,19,0.0,-0.05756913553499886,0
35,ppo,21,0.0,0.25737564886888525,0
36,ppo,30,0.0,-0.14519272077027068,0
37,ppo,12,0.0,-0.012842092997243535,0
38,ppo,5,0.0,-0.013584111456625017,0
39,ppo,28,0.0,-0.2520197602868426,0
40,ppo,10,0.0,-2.624918914944292,0
41,ppo,28,0.0,0.012212159965729899,0
42,ppo,15,0.0,-0.17021527343171672,0
43,ppo,6,0.0,0.0011200529819544041,0
44,ppo,16,0.0,0.06151444643259822,0
45,ppo,22,0.0,-0.37870634462684705,0
46,ppo,5,0.0,-0.0631079097610161,0
47,ppo,23,0.0,-0.5757774392060233,0
48,ppo,28,0.0,-0.21371007407591544,0
49,ppo,27,0.0,-0.13980931407456465,0
0,cpo,29,0.0,-0.6568548746077727,0
1,cpo,14,0.0,-1.1053363996273224,0
2,cpo,24,0.0,-0.7273182182968523,0
3,cpo,41,0.0,-2.209928692575877,0
4,cpo,23,0.0,-0.04118005694204504,0
5,cpo,64,0.0,0.10046537292897562,0
6,cpo,34,0.0,-0.282987108021729,0
7,cpo,11,0.0,-0.007542694338145114,0
8,cpo,20,0.0,-0.8850294309490637,0
9,cpo,5,0.0,-0.014360609754955105,0
10,cpo,10,0.0,-0.11613934472338328,0
11,cpo,12,0.0,-1.7253120888544466,0
12,cpo,19,0.0,-0.0740462303704262,0
13,cpo,22,0.0,-3.2817629869913145,0
14,cpo,17,0.0,-0.05634399159802489,0
15,cpo,21,0.0,-0.04902424732350703,0
16,cpo,4,0.0,-0.2277832095643265,0
17,cpo,16,0.0,-2.362256923182282,0
18,cpo,7,0.0,-0.003165264522515132,0
19,cpo,12,0.0,-1.6116119521372627,0
20,cpo,20,0.0,-0.15470555875736464,0
21,cpo,13,0.0,-0.020873213839870113,0
22,cpo,19,0.0,-0.12752482903979284,0
23,cpo,29,0.0,-0.1789648898682451,0
24,cpo,13,0.0,-0.681698867497788,0
25,cpo,46,0.0,-0.052241605027015386,0
26,cpo,42,0.0,-0.04895124099576755,0
27,cpo,40,0.0,-0.11627161883980991,0
28,cpo,18,0.0,-0.453794396871553,0
29,cpo,11,0.0,-0.18154403092885293,0
30,cpo,18,0.0,-0.17305438947118962,0
31,cpo,44,0.0,-0.15953130098234455,0
32,cpo,9,0.0,-0.05532345746230046,0
33,cpo,23,0.0,-0.32619661866708277,0
34,cpo,23,0.0,-2.416919118321496,0
35,cpo,5,0.0,-0.09648632120357885,0
36,cpo,31,0.0,-0.2941316669106945,0
37,cpo,33,0.0,-0.20161081936474848,0
38,cpo,8,0.0,-0.12002431178241402,0
39,cpo,51,0.0,0.0705167497562656,0
40,cpo,16,0.0,-2.4229985877908353,0
41,cpo,28,0.0,0.006917896655700013,0
42,cpo,26,0.0,-0.03886079589519452,0
43,cpo,15,0.0,-0.007974033445487303,0
44,cpo,21,0.0,0.3693720280245912,0
45,cpo,26,0.0,0.15716195237964675,0
46,cpo,8,0.0,-0.05758263034549673,0
47,cpo,14,0.0,-0.04936406570291172,0
48,cpo,19,0.0,-0.2492958661677158,0
49,cpo,23,0.0,-1.1037068644995494,0
0,conformal_sgpo,4,0.0,-1.1173213287591266,1
1,conformal_sgpo,8,0.0,-0.06186872977248362,1
2,conformal_sgpo,16,0.0,0.14840584575086313,1
3,conformal_sgpo,4,0.0,0.6027659964709028,1
4,conformal_sgpo,9,0.0,-0.037404720115269796,1
5,conformal_sgpo,19,0.0,-0.023942357765284746,1
6,conformal_sgpo,29,0.0,0.8742105364443841,1
7,conformal_sgpo,4,0.0,0.03877156459085105,1
8,conformal_sgpo,27,0.0,-0.02036942714167832,1
9,conformal_sgpo,19,0.0,0.02993944542870917,1
10,conformal_sgpo,5,0.0,-0.10872222081211409,1
11,conformal_sgpo,42,0.0,-2.667702858318823,1
12,conformal_sgpo,13,0.0033333333333333335,0.8126543894120561,1
13,conformal_sgpo,33,0.0,0.08599243165564535,1
14,conformal_sgpo,22,0.0,0.5805059797195253,1
15,conformal_sgpo,50,0.0,-0.014568619759971623,1
16,conformal_sgpo,12,0.0,-2.0602737926305097,1
17,conformal_sgpo,12,0.0,0.05034783840295086,1
18,conformal_sgpo,73,0.0,-2.412277313937592,3
19,conformal_sgpo,43,0.0,-0.06467932271606251,1
20,conformal_sgpo,37,0.0,-2.715086513839905,1
21,conformal_sgpo,7,0.0,0.009056987929658745,1
22,conformal_sgpo,39,0.0,-2.662198099965482,1
23,conformal_sgpo,9,0.0,-0.03611845414720728,1
24,conformal_sgpo,14,0.0,-3.164429531656399,1
25,conformal_sgpo,5,0.0,0.009717920099702302,1
26,conformal_sgpo,2,0.0,0.06217972100669355,1
27,conformal_sgpo,9,0.0,-0.001807881822873444,1
28,conformal_sgpo,6,0.0,-2.6327898047066727,1
29,conformal_sgpo,17,0.0,-0.01676233667180213,1
30,conformal_sgpo,7,0.0,0.1269404720229318,1
31,conformal_sgpo,11,0.0,0.027768916378719314,1
