seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
0,raw,3000,0.751,0.398,1.0,0.0,4.813030556973658e-32
0,harmonic_only,3000,0.7523333333333333,0.389,1.0,0.0,4.813030556973658e-32
0,curl_only,3000,0.7453333333333333,0.394,1.0,0.0,4.813030556973658e-32
0,reliability_score,3000,0.7416666666666667,0.406,1.0,0.0,4.813030556973658e-32
1,raw,3000,0.7543333333333333,0.372,1.0,0.0,4.833411489051256e-32
1,harmonic_only,3000,0.748,0.358,1.0,0.0,4.833411489051256e-32
1,curl_only,3000,0.7443333333333333,0.363,1.0,0.0,4.833411489051256e-32
1,reliability_score,3000,0.7596666666666667,0.363,1.0,0.0,4.833411489051256e-32
2,raw,3000,0.7456666666666667,0.393,1.0,0.0,4.81295069981091e-32
2,harmonic_only,3000,0.754,0.403,1.0,0.0,4.81295069981091e-32
2,curl_only,3000,0.7566666666666667,0.387,1.0,0.0,4.81295069981091e-32
2,reliability_score,3000,0.756,0.403,1.0,0.0,4.81295069981091e-32
3,raw,3000,0.758,0.368,1.0,0.0,4.826653612916989e-32
3,harmonic_only,3000,0.7506666666666667,0.373,1.0,0.0,4.826653612916989e-32
3,curl_only,3000,0.7556666666666667,0.369,1.0,0.0,4.826653612916989e-32
3,reliability_score,3000,0.7653333333333333,0.369,1.0,0.0,4.826653612916989e-32
4,raw,3000,0.7576666666666667,0.416,1.0,0.0,4.806198163191323e-32
4,harmonic_only,3000,0.752,0.396,1.0,0.0,4.806198163191323e-32
4,curl_only,3000,0.746,0.413,1.0,0.0,4.806198163191323e-32
4,reliability_score,3000,0.7473333333333333,0.4,1.0,0.0,4.806198163191323e-32
5,raw,3000,0.7353333333333333,0.373,1.0,0.0,4.8199615455160645e-32
5,harmonic_only,3000,0.7406666666666667,0.391,1.0,0.0,4.8199615455160645e-32
5,curl_only,3000,0.7313333333333333,0.371,1.0,0.0,4.8199615455160645e-32
5,reliability_score,3000,0.7203333333333334,0.383,1.0,0.0,4.8199615455160645e-32
6,raw,3000,0.7533333333333333,0.387,1.0,0.0,4.824980596066758e-32
6,harmonic_only,3000,0.7453333333333333,0.358,1.0,0.0,4.824980596066758e-32
6,curl_only,3000,0.755,0.374,1.0,0.0,4.824980596066758e-32
6,reliability_score,3000,0.7513333333333333,0.359,1.0,0.0,4.824980596066758e-32
7,raw,3000,0.742,0.378,1.0,0.0,4.809472140141726e-32
7,harmonic_only,3000,0.7326666666666667,0.394,1.0,0.0,4.809472140141726e-32
7,curl_only,3000,0.7336666666666667,0.371,1.0,0.0,4.809472140141726e-32
7,reliability_score,3000,0.731,0.375,1.0,0.0,4.809472140141726e-32
8,raw,3000,0.7533333333333333,0.396,1.0,0.0,4.800987572887761e-32
8,harmonic_only,3000,0.738,0.407,1.0,0.0,4.800987572887761e-32
8,curl_only,3000,0.7383333333333333,0.402,1.0,0.0,4.800987572887761e-32
8,reliability_score,3000,0.7396666666666667,0.384,1.0,0.0,4.800987572887761e-32
9,raw,3000,0.741,0.386,1.0,0.0,4.8095133074953147e-32
9,harmonic_only,3000,0.7443333333333333,0.382,1.0,0.0,4.8095133074953147e-32
9,curl_only,3000,0.7513333333333333,0.409,1.0,0.0,4.8095133074953147e-32
9,reliability_score,3000,0.7406666666666667,0.397,1.0,0.0,4.8095133074953147e-32
0,raw,3000,0.7513333333333333,0.376,1.0,0.0,4.804434285246327e-32
0,harmonic_only,3000,0.7436666666666667,0.367,1.0,0.0,4.804434285246327e-32
0,curl_only,3000,0.7453333333333333,0.375,1.0,0.0,4.804434285246327e-32
0,reliability_score,3000,0.7456666666666667,0.382,1.0,0.0,4.804434285246327e-32
1,raw,3000,0.7423333333333333,0.376,1.0,0.0,4.799172984040315e-32
1,harmonic_only,3000,0.731,0.374,1.0,0.0,4.799172984040315e-32
