seed,method,violations,goal_rate,final_return,n_hardened_regions
20,ppo,42,0.0,-0.07518750908040976,0
21,ppo,7,0.0,-0.016118894232941515,0
22,ppo,21,0.0,-1.8717827098158597,0
23,ppo,19,0.0,-0.1419596928191259,0
24,ppo,30,0.0,-1.210089846595561,0
25,ppo,98,0.0,-1.2817383271345673,0
26,ppo,62,0.0,-2.100706659143585,0
27,ppo,17,0.0,-0.14894296130714754,0
28,ppo,17,0.0,-1.950821459755626,0
29,ppo,21,0.0,-0.0662301801852397,0
20,cpo,34,0.0,-0.37744797868802366,0
21,cpo,25,0.0,-0.09340369783683905,0
22,cpo,6,0.0,-0.6711911472246149,0
23,cpo,76,0.0,-2.5521992207413504,0
24,cpo,38,0.0,0.40797010245633475,0
25,cpo,65,0.0,-0.19952577942309915,0
26,cpo,63,0.0,-0.5548926397113317,0
27,cpo,10,0.0,-0.12068400282486066,0
28,cpo,49,0.0,-1.4318224525667316,0
29,cpo,23,0.0,0.12762084311079305,0
20,conformal_sgpo,27,0.0,-0.02115094863765494,1
21,conformal_sgpo,0,0.0,0.04833561261578038,1
22,conformal_sgpo,14,0.0,-0.047218529158949224,1
23,conformal_sgpo,14,0.0,-0.05262887593672121,1
24,conformal_sgpo,8,0.0,-0.14932577375024436,1
25,conformal_sgpo,5,0.0,-0.035142090071023355,1
26,conformal_sgpo,30,0.0,-8.676724472939512,1
27,conformal_sgpo,2,0.0,0.009227584554714832,1
28,conformal_sgpo,7,0.0,-0.5244605196541877,1
29,conformal_sgpo,13,0.0,-0.5574517037188871,1
20,conformal_sgpo_anis,10,0.0,0.10344648446000637,1
21,conformal_sgpo_anis,0,0.0,0.05061482717481887,1
22,conformal_sgpo_anis,19,0.0,-0.23598582680568467,1
23,conformal_sgpo_anis,3,0.0,0.2930537313118005,1
24,conformal_sgpo_anis,19,0.0,-6.271523153720552,1
25,conformal_sgpo_anis,5,0.0,-0.0396584597674782,1
26,conformal_sgpo_anis,13,0.0,-7.933975457780331,1
27,conformal_sgpo_anis,3,0.0,0.02212992682371417,1
28,conformal_sgpo_anis,6,0.0,-0.5040517606091486,1
29,conformal_sgpo_anis,4,0.0,0.008198140155948361,1
