seed,method,violations,goal_rate,final_return,n_hardened_regions
10,ppo,45,0.0,-2.125154481187975,0
11,ppo,7,0.0,-0.175846662218676,0
12,ppo,2,0.0,0.0237622416662606,0
13,ppo,20,0.0,-2.7335028551462015,0
14,ppo,14,0.0,-2.7225736535028164,0
15,ppo,55,0.0,-1.6045769279334552,0
16,ppo,12,0.0,-0.086356945630407,0
17,ppo,11,0.0,-1.9039801429683616,0
18,ppo,19,0.0,-0.3227746232818539,0
19,ppo,16,0.0,-0.2997056717528288,0
10,cpo,14,0.0,-0.1462960526970203,0
11,cpo,8,0.0,-0.1846093947860134,0
12,cpo,8,0.0,-0.3304149720289512,0
13,cpo,10,0.0,-2.8875172884486653,0
14,cpo,10,0.0,-0.1276189968024529,0
15,cpo,33,0.0,0.0475228511600798,0
16,cpo,17,0.0,-0.4760034939448583,0
17,cpo,18,0.0,-0.1407650685669252,0
18,cpo,38,0.0,-0.2058837183191249,0
19,cpo,8,0.0,-1.893552696248599,0
10,conformal_sgpo,0,0.0,0.0843482919955726,1
11,conformal_sgpo,13,0.0,0.1972271206259256,1
12,conformal_sgpo,3,0.0,-0.0280527377142247,1
13,conformal_sgpo,13,0.0,0.3277635214289273,1
14,conformal_sgpo,10,0.0066666666666666,-9.97193677744347,1
15,conformal_sgpo,12,0.0,-0.138981279452908,1
16,conformal_sgpo,9,0.0,-0.0109469901286245,1
17,conformal_sgpo,7,0.0,-0.0433448149639113,1
18,conformal_sgpo,18,0.0,0.0164304315322643,1
19,conformal_sgpo,30,0.0,-0.6311033509748617,1
10,conformal_sgpo_anis,0,0.0,0.0842957440220924,1
11,conformal_sgpo_anis,43,0.0,-0.7076580434438448,1
12,conformal_sgpo_anis,3,0.0,-0.0370963110357089,1
13,conformal_sgpo_anis,17,0.0,-0.0182603416039153,1
14,conformal_sgpo_anis,8,0.0066666666666666,-6.84276207839695,1
15,conformal_sgpo_anis,34,0.0,0.667648033662677,1
16,conformal_sgpo_anis,6,0.0,-0.0182908172442754,1
17,conformal_sgpo_anis,43,0.0266666666666666,-4.619008111402493,1
18,conformal_sgpo_anis,27,0.0,0.0340958885329927,1
19,conformal_sgpo_anis,14,0.0,-7.328724019435251,1
20,ppo,42,0.0,-0.0751875090804097,0
21,ppo,7,0.0,-0.0161188942329415,0
22,ppo,21,0.0,-1.8717827098158597,0
23,ppo,19,0.0,-0.1419596928191259,0
24,ppo,30,0.0,-1.210089846595561,0
25,ppo,98,0.0,-1.2817383271345673,0
26,ppo,62,0.0,-2.100706659143585,0
27,ppo,17,0.0,-0.1489429613071475,0
28,ppo,17,0.0,-1.950821459755626,0
29,ppo,21,0.0,-0.0662301801852397,0
20,cpo,34,0.0,-0.3774479786880236,0
21,cpo,25,0.0,-0.093403697836839,0
22,cpo,6,0.0,-0.6711911472246149,0
23,cpo,76,0.0,-2.5521992207413504,0
